monto_sol_dev,ejercicio,periodo
149,2016,2
2190,2016,2
855,2016,2
53463,2016,2
16389,2016,2
3554,2016,2
3740,2016,2
335883,2016,2
545584,2016,2
320850,2016,2
52440,2016,2
1652,2016,2
774,2016,2
1327,2016,2
3035,2016,2
3824,2016,2
3467,2016,2
327714,2016,2
281,2016,2
81486,2016,2
174445,2016,2
12598,2016,2
9396,2016,2
277230,2016,2
4574,2016,2
233,2016,2
117044,2016,2
295706,2016,2
564610,2016,2
396313,2016,2
10970,2016,2
72326,2016,2
573,2016,2
465281,2016,2
21175,2016,2
644,2016,2
52106,2016,2
949,2016,2
5949,2016,2
3096,2016,2
755,2016,2
83,2016,2
854,2016,2
62,2016,2
7890,2016,2
2688,2016,2
669113,2016,2
5284,2016,2
2091,2016,2
1306,2016,2
426,2016,2
322,2016,2
977,2016,2
456,2016,2
1026,2016,2
158495,2016,2
3452,2016,2
338656,2016,2
9995,2016,2
12733,2016,2
101172,2016,2
815468,2016,2
11833,2016,2
284348,2016,2
439705,2016,2
780619,2016,2
29917,2016,2
16289,2016,2
1220,2016,2
48012,2016,2
840912,2016,2
26610,2016,2
2830,2016,2
343373,2016,2
70,2016,2
373046,2016,2
698,2016,2
89826,2016,2
13840,2016,2
605897,2016,2
127456,2016,2
330792,2016,2
91894,2016,2
93289,2016,2
243227,2016,2
4048,2016,2
365506,2016,2
466120,2016,2
503399,2016,2
6832,2016,2
12723,2016,2
284719,2016,2
8091,2016,2
5552,2016,2
13379,2016,2
29122,2016,2
18710,2016,2
726,2016,2
2190,2016,2
5392,2016,2
15028,2016,2
20706,2016,2
5795,2016,2
10715,2016,2
2929,2016,2
189599,2016,2
630368,2016,2
15971,2016,2
37883,2016,2
916044,2016,2
331904,2016,2
56,2016,2
66254,2016,2
6304,2016,2
594977,2016,2
288,2016,2
114901,2016,2
619,2016,2
10273,2016,2
997872,2016,2
6,2016,2
119028,2016,2
8259,2016,2
64888,2016,2
639,2016,2
29888,2016,2
36526,2016,2
1730,2016,2
534554,2016,2
